time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.21152698191e-08,2.03076922873e-07,10.0016476733,0.000217106382741,6.28287506037,0.0,1.41970513987e-05,1.7915434164e-05,0.054920844504,0.0100191812334,-0.0183050530835,0.0,422.986955364608,421.40797988419547,422.0810065498964,422.9445882690665
0.12000000000000001,1.19410270755e-05,9.00456427076e-06,10.0105940466,0.000892215283637,6.28241461202,0.0,0.000464888335176,0.000349032277204,0.243269531115,0.0136096421559,0.00787586118843,0.0,464.08532131608536,466.1354760188626,462.9392761435819,463.2215290557989
0.18,5.49640107798e-05,5.3177673172e-05,10.0296942979,0.00182006665075,6.28290066925,0.0,0.000916729036027,0.00121906750042,0.393365050239,0.0189366533461,0.0085473904722,0.0,452.700165373531,452.75406957577644,452.25442292080635,452.68310847486674
0.23999999999999996,0.000114070353836,0.000171279673378,10.0575450419,0.00334841873221,0.000287551612321,0.0,0.000994714864397,0.00286430848853,0.534936551038,0.0360906745804,0.0114447567373,0.0,451.18160897097965,451.4153102288451,448.16601472735925,449.558011115892
0.3,0.00016398385537,0.000428013534713,10.0943962039,0.00611459325156,0.00135780416838,0.0,0.000569287942513,0.00597173750797,0.693351085745,0.0609658982399,0.0282648365536,0.0,454.5799337417169,455.9255151239015,454.5119980739591,456.5020828099276
0.36000000000000004,0.00015755245256,0.00095106361368,10.1424725286,0.0103371207587,0.00256917285058,0.0,-0.00096786284966,0.011937197013,0.909042447904,0.0845509778611,-0.00540989171467,0.0,474.3075336023578,471.7145826727333,471.49696310589627,473.31864318926927
0.4200000000000001,3.32126358498e-05,0.00196015267905,10.2053321627,0.0153497450271,0.00289982051252,0.0,-0.00318421453149,0.0223429138422,1.18602528791,0.081450483753,0.0213746772706,0.0,489.80986415362224,491.7974855920383,490.7473454757358,490.52215713879633
0.48000000000000015,-0.000217390714027,0.0036080449292,10.2777450493,0.0200918926012,0.00441683261355,0.0,-0.00530069886934,0.0330360742924,1.2276852738,0.0737103332024,0.0321353545475,0.0,418.5277279796481,419.46329681774694,420.2266538187184,419.56062722756485
0.5400000000000001,-0.000652247205436,0.0061010841745,10.3581796397,0.0244249936401,0.00649046672797,0.0,-0.0094350528384,0.0505878105664,1.45319565789,0.0690555205094,0.0390155581841,0.0,476.3381587454736,476.86436872289454,476.77281221968104,476.42071700202496
0.6000000000000002,-0.00136907502027,0.00968469263192,10.4494768338,0.0285314058757,0.00845581130391,0.0,-0.0146941841577,0.0693042585203,1.58985008956,0.0671809328755,0.0157144978962,0.0,450.7871084874359,448.90081376941174,451.2967863401095,451.14892377315437
0.6600000000000003,-0.00248038938299,0.0146156509609,10.5535982834,0.032478244649,0.0103602266658,0.0,-0.0225459607852,0.0955676684368,1.88041507292,0.0628232392869,0.0525072363535,0.0,495.1770149649283,497.87621983275915,495.98868550101105,495.67128094160864
0.7200000000000003,-0.00402313708353,0.0209254742476,10.6661144285,0.0358438896516,0.0135304209539,0.0,-0.0291500627715,0.115070351648,1.8701250465,0.0371499088979,0.0534869913908,0.0,405.3668513878742,405.4569986175894,404.01004712407735,401.69107203005984
0.7800000000000004,-0.00604844648141,0.0285342520974,10.7800932802,0.0378590259427,0.0178798480932,0.0,-0.0387358170065,0.138756053113,1.92905730043,0.0252856127483,0.095660944116,0.0,425.1781671022576,428.77971144349885,428.1474735425828,427.1374187366386
0.8400000000000004,-0.00876184100076,0.0376429700432,10.8987145752,0.0390629045594,0.0234736964406,0.0,-0.0522828117653,0.165001293378,2.02480186814,0.0067653376649,0.0878683230275,0.0,439.73026867644364,439.0917365711432,440.1467086755953,438.61135824566236
0.9000000000000005,-0.0123908820624,0.0483298578241,11.0226398077,0.0397208702839,0.0290185408279,0.0,-0.0692197245687,0.19127497485,2.10587472181,0.0182654757754,0.100226798897,0.0,434.6436548545166,435.6854426130565,434.5950859799922,435.557775662353
0.9600000000000005,-0.0171556712881,0.060615513174,11.1516028017,0.0404068894784,0.0352440722081,0.0,-0.0902150681069,0.218333351678,2.19270263072,-0.00796279276137,0.110018555245,0.0,436.69295481156195,437.5184529036649,438.6390747132768,436.45554820907694
1.0200000000000005,-0.0233099611129,0.0745344978545,11.2858139939,0.0403758142061,0.0415377160757,0.0,-0.115570999131,0.245600976477,2.28080443121,0.0112852245864,0.09192789397,0.0,439.2061999786679,437.71291649483686,437.02753100546806,438.62889969936555
1.0800000000000005,-0.031056809571,0.0900425214865,11.4240717466,0.0413492982075,0.0467847911905,0.0,-0.143161977041,0.271405885082,2.32766257318,0.0246212288519,0.0765289244429,0.0,425.22606412233665,423.91155132857585,425.3820863765604,426.52245659100845
1.1400000000000006,-0.0408278594381,0.107356439459,11.5708287729,0.0426198361915,0.0515256351029,0.0,-0.183086453383,0.305869980766,2.56369643021,0.0131976124425,0.0835685405113,0.0,483.4673210451573,484.00183016890315,483.9413815303211,483.0807448338973
1.2000000000000006,-0.0531170232921,0.12676933662,11.7318066148,0.0437678169911,0.0563971263929,0.0,-0.227129141979,0.341320486987,2.80163153374,0.0289383660211,0.0759579757105,0.0,485.8580191962553,485.29180507329346,484.37109645802855,485.5533211287356
1.2600000000000007,-0.0678836808668,0.148122861243,11.9020998901,0.0458818356434,0.0608373150927,0.0,-0.265523939,0.370643108311,2.87458523273,0.0455282747418,0.0697775033514,0.0,436.0240239444574,435.5117640484494,436.54805867363615,437.9307205933649
